Object Complete Name,Trend,Date,Milli,Quality,Unit,Value
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:02:34,910,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:02:38,910,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:02:42,910,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:02:46,895,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:02:50,900,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:02:54,895,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:02:58,911,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:03:02,910,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:03:06,912,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:03:10,905,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:03:14,914,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:03:18,898,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:03:22,903,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:03:26,906,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:03:30,909,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:03:34,909,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:03:38,894,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:03:42,899,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:03:46,901,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:03:50,904,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:03:54,904,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:03:58,913,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:04:02,900,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:04:06,906,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:04:10,908,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:04:14,911,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:04:18,911,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:04:22,896,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:04:26,901,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:04:30,904,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:04:34,907,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:04:38,907,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:04:42,916,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:04:46,912,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:04:50,901,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:04:54,902,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:04:58,904,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:05:02,907,0,MW,-0.34
